File,Issue Type,Line,Context,Details
/root/Complete_Seperate/logging_diagnostic.py,Direct logging.getLogger,61,module,"name=""None"""
/root/Complete_Seperate/logging_diagnostic.py,Custom Handler Setup,84,module,"target=""test_logger"""
/root/Complete_Seperate/memory_monitor.py,Direct logging.getLogger,32,module,"name=""memory_monitor"""
/root/Complete_Seperate/memory_monitor.py,Custom Handler Setup,50,module,"target=""monitor_logger"""
/root/Complete_Seperate/memory_monitor.py,Custom Handler Setup,51,module,"target=""monitor_logger"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,337,get_logger,"name=""name"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,358,create_custom_logger,"name=""name"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,410,configure_alert_logger,"name=""alert_name"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,427,configure_alert_logger,"name=""alert_name"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,449,cleanup_handlers,"name=""None"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,450,cleanup_handlers,"name=""name"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,562,get_summary_logger,"name=""summary"""
/root/Complete_Seperate/log_config.py,Direct logging.getLogger,631,test_logging_rules,"name=""prepend_test"""
/root/Complete_Seperate/log_config.py,Custom Handler Setup,639,test_logging_rules,"target=""test_logger"""
/root/Complete_Seperate/combined_match_summary.py,Logger Shadowing,77,test_header_alignment,Shadows module-level logger
/root/Complete_Seperate/combined_match_summary.py,Logger Shadowing,209,write_combined_match_summary,Shadows module-level logger
/root/Complete_Seperate/orchestrate_complete.py,Logger Shadowing,271,timed,Shadows module-level logger
/root/Complete_Seperate/pure_json_fetch_cache.py,Direct logging.getLogger,86,_setup_logger,"name=""pure_json_fetch"""
/root/Complete_Seperate/pure_json_fetch_cache.py,Direct logging.getLogger,107,_setup_logger,"name=""fetch_data"""
/root/Complete_Seperate/pure_json_fetch_cache.py,Custom Handler Setup,103,_setup_logger,"target=""log"""
/root/Complete_Seperate/pure_json_fetch_cache.py,Custom Handler Setup,104,_setup_logger,"target=""log"""
/root/Complete_Seperate/pure_json_fetch_cache.py,Custom Handler Setup,118,_setup_logger,"target=""fetch_logger"""
/root/Complete_Seperate/merge_logic.py,Direct logging.getLogger,26,setup_logger,"name=""merge_logic"""
/root/Complete_Seperate/merge_logic.py,Custom Handler Setup,43,setup_logger,"target=""log"""
/root/Complete_Seperate/merge_logic.py,Custom Handler Setup,44,setup_logger,"target=""log"""
/root/Complete_Seperate/test_logging_rules.py,Direct logging.getLogger,47,module,"name=""prepend_test"""
/root/Complete_Seperate/test_logging_rules.py,Custom Handler Setup,56,module,"target=""test_logger"""
/root/Complete_Seperate/Alerts/alerter_main.py,Direct logging.getLogger,87,module,"name=""None"""
/root/Complete_Seperate/Alerts/alerter_main.py,Direct logging.getLogger,480,_initialize_alert,"name=""file_base"""
/root/Complete_Seperate/Alerts/alerter_main.py,Custom Handler Setup,91,module,"target=""root_logger"""
/root/Complete_Seperate/Alerts/base_alert.py,Direct logging.getLogger,65,__init__,"name=""name"""
/root/Complete_Seperate/Alerts/base_alert.py,Custom Handler Setup,76,__init__,"target=""None"""
/root/Complete_Seperate/tests/test_logging_system.py,Direct logging.getLogger,38,test_strict_mode_validation,"name=""unexpected_test_logger"""
/root/Complete_Seperate/tests/test_logging_system.py,Custom Handler Setup,104,test_timestamp_formatting,"target=""test_logger"""
